Node Number	X Location (m)	Y Location (m)	Z Location (m)	
165	6,7082e-002	6,2319e-002	0,	
166	6,6542e-002	3,7405e-002	0,	
167	0,12353	8,8376e-002	0,	
168	1,0425e-002	5,8854e-002	0,	
169	0,12107	4,3933e-002	0,	
170	2,0827e-002	6,3209e-002	0,	
171	9,0845e-002	8,9424e-002	0,	
172	0,13032	6,0974e-002	0,	
173	4,5518e-002	7,3256e-002	0,	
174	9,3836e-002	4,8188e-002	0,	
175	8,018e-002	3,17e-002	0,	
176	0,11229	6,404e-002	0,	
177	3,8588e-002	1,0031e-002	0,	
178	7,5698e-002	4,4868e-002	0,	
179	0,1125	4,8643e-002	0,	
180	1,0191e-002	4,8299e-002	0,	
181	7,5703e-002	5,7139e-002	0,	
182	9,7021e-002	3,2513e-002	0,	
183	4,0793e-002	3,6093e-002	0,	
184	5,7726e-002	5,6462e-002	0,	
185	9,4899e-002	6,8663e-002	0,	
186	2,5556e-002	5,0182e-002	0,	
187	7,1824e-002	6,9194e-002	0,	
188	4,0508e-002	8,7463e-002	0,	
189	0,13425	4,7349e-002	0,	
190	0,10284	8,3207e-002	0,	
191	4,3801e-002	2,6384e-002	0,	
192	7,938e-002	1,6858e-002	0,	
193	3,2921e-002	3,069e-002	0,	
194	4,4493e-002	6,271e-002	0,	
195	0,13467	7,2295e-002	0,	
196	0,13055	7,7154e-002	0,	
197	3,742e-002	7,6375e-002	0,	
198	6,8051e-003	3,6491e-002	0,	
199	0,11618	7,4062e-002	0,	
200	8,5655e-002	8,9473e-002	0,	
201	0,12465	6,1035e-002	0,	
202	0,10892	3,7177e-002	0,	
203	1,3909e-002	6,9713e-002	0,	
204	0,103	4,4651e-002	0,	
205	5,2621e-002	6,7865e-002	0,	
206	8,1462e-002	7,1556e-002	0,	
207	4,4116e-002	1,1551e-002	0,	
208	9,419e-002	5,9994e-002	0,	
209	2,9864e-002	8,8652e-002	0,	
210	3,7277e-002	5,4886e-002	0,	
211	2,8828e-002	7,0877e-002	0,	
212	0,1014	8,8562e-002	0,	
213	2,949e-002	1,8963e-002	0,	
214	9,1544e-002	1,9984e-002	0,	
215	5,8107e-002	2,8642e-002	0,	
216	0,10795	2,5758e-002	0,	
217	0,13515	8,7167e-002	0,	
218	4,7054e-002	4,5321e-002	0,	
